Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
41	51.14	82	
32	51.14	82	
3	3.11	5	
4	3.11	5	
15	3.11	5	
4	3.11	5	
23	3.11	5	
46	3.11	5	
1	3.11	5	
17	3.11	5	
22	3.11	5	
17	3.11	5	
2	47.29	76	
17	47.29	76	
20	47.29	76	
33	47.29	76	
22	47.29	76	
8	47.29	76	
16	47.29	76	
41	47.29	76	
12	47.29	76	
30	47.29	76	
15	47.29	76	
32	47.29	76	
20	61.10	98	
25	61.10	98	
4	61.10	98	
4	61.10	98	
39	61.10	98	
6	61.10	98	
33	61.10	98	
21	61.10	98	
44	12.91	21	
29	12.91	21	
3	12.91	21	
26	12.91	21	
47	12.91	21	
30	12.91	21	
40	12.91	21	
42	12.91	21	
47	12.91	21	
45	12.91	21	
10	12.91	21	
8	12.91	21	
22	12.91	21	
4	12.91	21	
35	57.81	93	
34	57.81	93	
37	57.81	93	
44	57.81	93	
35	57.81	93	
17	57.81	93	
2	57.81	93	
36	57.81	93	
41	57.81	93	
49	57.81	93	
40	57.81	93	
31	57.81	93	
34	57.81	93	
26	57.81	93	
30	9.31	15	
35	9.31	15	
45	9.31	15	
3	9.31	15	
13	9.31	15	
42	9.31	15	
3	9.31	15	
40	9.31	15	
23	9.31	15	
7	9.31	15	
29	9.31	15	
42	9.31	15	
22	9.31	15	
33	9.31	15	
29	9.31	15	
42	9.31	15	
23	9.31	15	
43	9.31	15	
25	22.76	36	
4	22.76	36	
28	22.76	36	
47	22.76	36	
20	22.76	36	
24	22.76	36	
18	22.76	36	
1	22.76	36	
37	22.76	36	
43	22.76	36	
29	22.76	36	
42	22.76	36	
5	22.76	36	
20	22.76	36	
14	22.76	36	
18	5.48	9	
9	5.48	9	
12	5.48	9	
29	5.48	9	
11	5.48	9	
28	5.48	9	
42	5.48	9	
35	5.48	9	
44	5.48	9	
19	19.57	31	
2	19.57	31	
29	19.57	31	
49	19.57	31	
17	19.57	31	
14	19.57	31	
36	19.57	31	
43	19.57	31	
43	19.57	31	
14	19.57	31	
39	19.57	31	
14	19.57	31	
17	19.57	31	
16	19.57	31	
36	19.57	31	
8	19.57	31	
3	33.01	53	
46	33.01	53	
5	33.01	53	
24	33.01	53	
26	33.01	53	
14	16.13	26	
38	16.13	26	
28	16.13	26	
23	16.13	26	
42	16.13	26	
44	16.13	26	
3	16.13	26	
Node ID	CPU Usage (%)	Total number of transactions
28	28.17	45	
2	28.17	45	
23	28.17	45	
12	28.17	45	
17	28.17	45	
1	28.17	45	
47	10.62	17	
41	10.62	17	
25	10.62	17	
4	10.62	17	
44	10.62	17	
41	10.62	17	
32	10.62	17	
3	10.62	17	
4	24.37	39	
15	24.37	39	
4	24.37	39	
23	24.37	39	
46	24.37	39	
1	24.37	39	
17	24.37	39	
22	24.37	39	
17	24.37	39	
2	24.37	39	
17	24.37	39	
20	38.05	61	
33	38.05	61	
22	38.05	61	
8	38.05	61	
16	38.05	61	
41	38.05	61	
12	38.05	61	
30	38.05	61	
15	38.05	61	
32	38.05	61	
20	51.68	83	
25	51.68	83	
4	51.68	83	
4	51.68	83	
39	51.68	83	
6	51.68	83	
33	51.68	83	
21	51.68	83	
44	3.63	6	
29	3.63	6	
3	3.63	6	
26	3.63	6	
47	3.63	6	
30	3.63	6	
40	3.63	6	
42	3.63	6	
47	3.63	6	
45	3.63	6	
10	3.63	6	
8	3.63	6	
22	3.63	6	
4	3.63	6	
35	3.63	6	
34	48.21	77	
37	48.21	77	
44	48.21	77	
35	48.21	77	
17	48.21	77	
2	48.21	77	
36	48.21	77	
41	48.21	77	
49	48.21	77	
40	48.21	77	
31	48.21	77	
34	48.21	77	
26	48.21	77	
30	48.21	77	
35	30.99	50	
45	30.99	50	
3	30.99	50	
13	30.99	50	
42	30.99	50	
3	30.99	50	
40	30.99	50	
23	30.99	50	
7	30.99	50	
29	30.99	50	
42	30.99	50	
22	30.99	50	
33	30.99	50	
29	30.99	50	
42	30.99	50	
23	30.99	50	
43	30.99	50	
25	13.76	22	
4	13.76	22	
28	13.76	22	
47	13.76	22	
20	13.76	22	
24	13.76	22	
18	13.76	22	
1	13.76	22	
37	13.76	22	
43	13.76	22	
29	13.76	22	
42	13.76	22	
5	13.76	22	
20	58.06	93	
14	58.06	93	
18	58.06	93	
9	58.06	93	
12	58.06	93	
29	58.06	93	
11	58.06	93	
28	58.06	93	
42	58.06	93	
35	9.75	16	
44	9.75	16	
19	9.75	16	
2	9.75	16	
29	9.75	16	
49	9.75	16	
17	9.75	16	
14	9.75	16	
36	9.75	16	
43	9.75	16	
43	9.75	16	
14	54.79	88	
39	54.79	88	
14	54.79	88	
17	54.79	88	
16	54.79	88	
36	54.79	88	
8	54.79	88	
3	54.79	88	
46	54.79	88	
5	54.79	88	
24	54.79	88	
26	37.39	60	
14	37.39	60	
38	37.39	60	
28	37.39	60	
23	37.39	60	
42	37.39	60	
44	37.39	60	
3	37.39	60	
42	20.13	32	
1	20.13	32	
37	20.13	32	
49	20.13	32	
43	20.13	32	
37	20.13	32	
49	20.13	32	
46	33.34	53	
28	33.34	53	
32	33.34	53	
10	33.34	53	
48	33.34	53	
13	33.34	53	
11	33.34	53	
10	33.34	53	
44	33.34	53	
37	33.34	53	
1	33.34	53	
49	16.47	26	
37	16.47	26	
28	16.47	26	
7	16.47	26	
41	16.47	26	
29	16.47	26	
43	16.47	26	
33	16.47	26	
6	16.47	26	
31	16.47	26	
21	16.47	26	
22	16.47	26	
4	16.47	26	
8	30.01	48	
41	30.01	48	
1	30.01	48	
44	30.01	48	
20	30.01	48	
38	30.01	48	
44	30.01	48	
37	30.01	48	
41	30.01	48	
26	30.01	48	
4	43.72	70	
35	43.72	70	
33	43.72	70	
15	43.72	70	
7	43.72	70	
46	43.72	70	
30	43.72	70	
21	43.72	70	
36	43.72	70	
46	43.72	70	
37	43.72	70	
5	43.72	70	
14	57.38	92	
24	57.38	92	
10	57.38	92	
41	57.38	92	
27	57.38	92	
13	57.38	92	
27	57.38	92	
47	57.38	92	
48	57.38	92	
15	57.38	92	
1	57.38	92	
14	57.38	92	
7	57.38	92	
33	9.06	14	
31	9.06	14	
39	9.06	14	
19	9.06	14	
2	9.06	14	
