Source_ID Destination_ID Rating Votes
Source_ID Destination_ID Rating Votes
   19           33          2     1
   14           15         10     1
   44            7          3     1
   55           46          3     1
   24           30          1     1
   11           21          6     1
    5           36          1     1
   27           46          7     1
   45           37          3     1
    3            5          5     1
   40           14          4     1
   28           24          7     1
   55           10          0     1
   19           41          6     1
    5           27         10     1
   56           13          9     1
   36           27          9     1
   45           47          9     1
   27           48          4     1
   14           15         10     1
   45            1          4     1
   54           14          2     1
   37            7          3     1
   19           33          2     1
   15           31          9     1
   51           39          5     1
    1           19          3     1
   32            2          2     1
   22           29          6     1
   26           28          0     1
   54           32          8     1
   22           47          3     1
   30           34          7     1
    6           42          8     1
   15           31          9     1
    9           11          9     1
   54           28          7     1
    9            2          5     1
   33           25          7     1
   21            4          0     1
   36           38          7     1
    8           25          5     1
   19            7          5     1
   44            7          7     1
   36           29          7     1
   44            6          8     1
   39           37          5     1
   53           22          4     1
   41           18          1     1
   44            9          5     1
   49           22          5     1
   28           23          8     1
   41           47          3     1
   22            2          0     1
   29           13         10     1
   47           15          3     1
   56            8          0     1
   18           48          2     1
    3            4          3     1
   46           28          8     1
   22           15          9     1
    8            5          5     1
   10           31          6     1
   18           48          2     1
   52            6          5     1
   19            7          5     1
   39           25          4     1
   42           34          8     1
   17            8         10     1
   24           47          8     1
   34           18          1     1
   15           47          4     1
   15           35          4     1
   37           26          5     1
   53           44          5     1
   44           47          1     1
   15           10          8     1
   43            8          3     1
   37           13          9     1
   17            8         10     1
   49           46          5     1
   31           19          8     1
   24            8          0     1
   48           47          5     1
   34           11          4     1
    8            2          1     1
   52           17          0     1
   26           29          3     1
    4           49          3     1
Source_ID Destination_ID Rating Votes
    6           28          9     1
   11            2          5     1
   47           23          4     1
   47           12          4     1
   20           17          3     1
   17            1          6     1
   43           47          8     1
    6           41          2     1
    6           25          4     1
   41            4          2     1
   37           44          8     1
   56           41          5     1
   47           32          1     1
   39            3          2     1
   21            4          1     1
   17           15         10     1
   51            4          3     1
   53           23          5     1
   33           46          1     1
   17            1          6     1
   24           17          3     1
   34           22          6     1
   20           17          3     1
   11            2          5     1
   32           17          2     1
   12           20         10     1
   51           33          9     1
    7           22          5     1
   26            8          6     1
   55           16          2     1
   39           41          2     1
    5           12          5     1
   35           30          1     1
   17           15         10     1
   50           32          6     1
   12           20         10     1
   40           25         10     1
   39            4          6     1
   16            4          2     1
   24           39          6     1
    3            6          6     1
    1           33          9     1
   37           21          1     1
   16           44          1     1
    9           29          9     1
   23            3          3     1
   18           26          9     1
    9           47          3     1
   53           30          0     1
   25           40          0     1
   28           42          3     1
   43           47          9     1
   12           45          4     1
   26           10          3     1
   46            8          9     1
    4           22          8     1
   16            4          2     1
   16           35          5     1
    6           34          1     1
   43           37          9     1
   16           44          1     1
   40           35          1     1
   55           17          4     1
   56            2          7     1
   31           36          1     1
   42           41         10     1
   27           49         10     1
   31           40          5     1
    4           31          6     1
   54           34         10     1
   18           26          9     1
   29           30          6     1
   16           35          5     1
   12           45          4     1
    6            3          2     1
   26           13          3     1
   28           42          3     1
   56            3          0     1
   22           40          3     1
   35           23          7     1
    3            7          6     1
   42           29          9     1
   22           42          0     1
   51           22          4     1
   53           33          1     1
    9           29          7     1
    5           42         10     1
   29           23          5     1
   37           43          0     1
   21           25          3     1
   27            4          3     1
   37           28         10     1
    6           47          1     1
    6           20          6     1
   41           24          3     1
   13           18          3     1
   32            1          6     1
   56           37          3     1
   28           43          3     1
    7           29          8     1
   22           42          0     1
   34            5          0     1
   34           20          1     1
   15           14         10     1
   13           18          3     1
   50            9          8     1
    5           12          1     1
   16           29          5     1
    8           11          5     1
   45           28          9     1
   32           42          7     1
    6           35          0     1
   23           44          1     1
   56           19          0     1
   10            2          7     1
   16           29          5     1
   28           49          6     1
    2           17          9     1
   15           14         10     1
    8           36         10     1
   50           43         10     1
   28           43          3     1
   31           14          3     1
   27           39          2     1
   20           14          5     1
   32           17          8     1
   50           16          8     1
    6           36          0     1
   54            8          6     1
   14            3          9     1
   35           46          2     1
   10            5          3     1
   48           24          2     1
   34           26          6     1
   20           14          5     1
   53           38         10     1
   17           28          2     1
    8           23          4     1
   15           42          4     1
   23           44          1     1
   14            3          9     1
   15           42          4     1
   55            1          0     1
   45           37          1     1
   42           49          8     1
   18           43          6     1
   54           37          1     1
   16           49          5     1
   55           46          7     1
    4           28          9     1
   42           32          7     1
   18           10          2     1
   33           48          7     1
   47           13          6     1
   51           11          8     1
   18           10          2     1
    3           44          7     1
   26           37          0     1
   43            1          0     1
   16           49          5     1
   17           37         10     1
   17           28          2     1
   50            7          2     1
   14           41          1     1
    9           29          9     1
   18           43          6     1
Source_ID Destination_ID Rating Votes
    6           28          6     1
   11            2         10     1
   47           23          7     1
   47           12          8     1
   20           17          5     1
   17            1          5     1
   43           47          0     1
    6           41          6     1
    6           25          2     1
   41            4          1     1
   37           44          0     1
   56           41          8     1
   47           32          5     1
   39            3          1     1
   21            4          7     1
   17           15          6     1
   51            4          7     1
   53           23          3     1
   33           46          2     1
   17            1          5     1
   24           17          3     1
   34           22          7     1
   20           17          5     1
   11            2         10     1
   32           17          4     1
   12           20          9     1
   51           33         10     1
    7           22          8     1
   26            8          1     1
   55           16          3     1
   39           41          7     1
    5           12          9     1
   35           30          8     1
   17           15          6     1
   50           32          3     1
   12           20          9     1
   40           25          1     1
   39            4          9     1
   16            4         10     1
   24           39          5     1
    3            6          2     1
    1           33          7     1
   37           21          7     1
   16           44          3     1
    9           29          9     1
   23            3         10     1
   18           26          3     1
    9           47          4     1
   53           30          8     1
   25           40          7     1
   28           42          5     1
   43           47          9     1
   12           45          7     1
   26           10          1     1
   46            8          4     1
    4           22          2     1
   16            4         10     1
   16           35          8     1
    6           34          9     1
   43           37          0     1
   16           44          3     1
   40           35          1     1
   55           17          7     1
   56            2          8     1
   31           36          6     1
   42           41          9     1
   27           49          2     1
   31           40          6     1
    4           31          9     1
   54           34          0     1
   18           26          3     1
   29           30          6     1
   16           35          8     1
   12           45          7     1
    6            3          4     1
   26           13          0     1
   28           42          5     1
   56            3          8     1
   22           40          2     1
   35           23          2     1
    3            7         10     1
   42           29          3     1
   22           42          6     1
   51           22          6     1
   53           33          9     1
    9           29          9     1
    5           42          9     1
   29           23          5     1
   37           43          7     1
   21           25          6     1
   27            4          5     1
   37           28          8     1
    6           47          2     1
    6           20          4     1
   41           24          8     1
   13           18          5     1
   32            1          1     1
   56           37         10     1
   28           43          0     1
    7           29          3     1
   22           42          6     1
   34            5          6     1
   34           20          2     1
   15           14          4     1
   13           18          5     1
   50            9          0     1
    5           12          7     1
   16           29         10     1
    8           11          6     1
   45           28          9     1
   32           42          0     1
    6           35          8     1
   23           44          6     1
   56           19          6     1
   10            2          3     1
   16           29         10     1
   28           49          4     1
    2           17          3     1
   15           14          4     1
    8           36          3     1
   50           43          5     1
   28           43          0     1
   31           14          7     1
   27           39          0     1
   20           14          7     1
   32           17          7     1
   50           16          2     1
    6           36         10     1
   54            8          1     1
   14            3          4     1
   35           46          5     1
   10            5          1     1
   48           24          8     1
   34           26          3     1
   20           14          7     1
   53           38          6     1
   17           28          5     1
    8           23          4     1
   15           42          6     1
   23           44          6     1
   14            3          4     1
   15           42          6     1
   55            1          1     1
   45           37         10     1
   42           49          1     1
   18           43          5     1
   54           37          0     1
   16           49          6     1
Source_ID Destination_ID Rating Votes
    6           28          5     1
   11            2          6     1
   47           23          5     1
   47           12          8     1
   20           17          1     1
   17            1          2     1
   43           47          5     1
    6           41          7     1
    6           25          1     1
   41            4         10     1
   37           44          9     1
   56           41          6     1
   47           32          0     1
   39            3          3     1
   21            4          0     1
   17           15          4     1
   51            4          7     1
   53           23          3     1
   33           46         10     1
   17            1          2     1
   24           17          2     1
