Node ID	Battery Consumption (%)	TotalNumber of Transactions
22	0.00013750	99	
4	0.00002917	21	
8	0.00005972	43	
41	0.00005972	43	
1	0.00009028	65	
44	0.00009028	65	
20	0.00009028	65	
38	0.00009028	65	
44	0.00012222	88	
37	0.00012222	88	
41	0.00012222	88	
26	0.00012222	88	
4	0.00012222	88	
35	0.00012222	88	
33	0.00001389	10	
15	0.00001389	10	
7	0.00004444	32	
46	0.00004444	32	
30	0.00004444	32	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00003750	27	
2	0.00003750	27	
23	0.00003750	27	
12	0.00003750	27	
17	0.00003750	27	
1	0.00006667	48	
47	0.00006667	48	
41	0.00006667	48	
25	0.00006667	48	
4	0.00009722	70	
44	0.00012917	93	
41	0.00012917	93	
32	0.00002083	15	
3	0.00002083	15	
4	0.00011944	86	
15	0.00011944	86	
4	0.00001250	9	
23	0.00001250	9	
46	0.00001250	9	
1	0.00011250	81	
17	0.00011250	81	
22	0.00011250	81	
17	0.00011250	81	
2	0.00007361	53	
17	0.00007361	53	
20	0.00007361	53	
33	0.00007361	53	
22	0.00007361	53	
8	0.00007361	53	
16	0.00010417	75	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00003333	24	
2	0.00003333	24	
23	0.00003333	24	
12	0.00003333	24	
17	0.00003333	24	
1	0.00003333	24	
47	0.00006389	46	
41	0.00006389	46	
25	0.00006389	46	
4	0.00006389	46	
44	0.00012500	90	
41	0.00012500	90	
32	0.00012500	90	
3	0.00001806	13	
4	0.00011667	84	
15	0.00011667	84	
4	0.00011667	84	
23	0.00000972	7	
46	0.00000972	7	
1	0.00000972	7	
17	0.00000972	7	
22	0.00000972	7	
17	0.00003889	28	
2	0.00003889	28	
17	0.00003889	28	
20	0.00000139	1	
33	0.00000139	1	
22	0.00000139	1	
8	0.00000139	1	
16	0.00003194	23	
41	0.00003194	23	
12	0.00003194	23	
30	0.00003194	23	
32	0.00013056	94	
15	0.00013056	94	
20	0.00013056	94	
25	0.00013056	94	
4	0.00013056	94	
4	0.00002361	17	
39	0.00002361	17	
6	0.00005417	39	
33	0.00005417	39	
21	0.00005417	39	
44	0.00005417	39	
29	0.00005417	39	
3	0.00005417	39	
26	0.00001528	11	
47	0.00001528	11	
30	0.00001528	11	
40	0.00004583	33	
42	0.00004583	33	
47	0.00000833	6	
45	0.00000833	6	
10	0.00000833	6	
8	0.00000833	6	
22	0.00000833	6	
4	0.00000833	6	
35	0.00000833	6	
34	0.00003750	27	
37	0.00003750	27	
44	0.00003750	27	
35	0.00003750	27	
17	0.00000000	0	
2	0.00000000	0	
36	0.00000000	0	
41	0.00000000	0	
49	0.00003056	22	
40	0.00003056	22	
31	0.00003056	22	
34	0.00003056	22	
26	0.00003056	22	
30	0.00003056	22	
35	0.00006111	44	
45	0.00006111	44	
3	0.00006111	44	
13	0.00006111	44	
3	0.00006111	44	
40	0.00006111	44	
23	0.00006111	44	
7	0.00006111	44	
29	0.00006111	44	
42	0.00006111	44	
22	0.00006111	44	
33	0.00006111	44	
29	0.00002222	16	
42	0.00002222	16	
23	0.00002222	16	
43	0.00002222	16	
25	0.00002222	16	
4	0.00002222	16	
28	0.00002222	16	
47	0.00002222	16	
20	0.00002222	16	
24	0.00002222	16	
18	0.00002222	16	
1	0.00002222	16	
37	0.00002222	16	
43	0.00012222	88	
29	0.00012222	88	
5	0.00012222	88	
20	0.00008333	60	
14	0.00008333	60	
18	0.00008333	60	
9	0.00004583	33	
12	0.00004583	33	
29	0.00004583	33	
11	0.00004583	33	
28	0.00007500	54	
42	0.00010556	76	
35	0.00010556	76	
44	0.00010556	76	
19	0.00013472	97	
2	0.00013472	97	
29	0.00013472	97	
49	0.00013472	97	
17	0.00009722	70	
14	0.00009722	70	
36	0.00009722	70	
43	0.00009722	70	
14	0.00009722	70	
39	0.00009722	70	
14	0.00009722	70	
17	0.00009722	70	
16	0.00012778	92	
36	0.00012778	92	
8	0.00012778	92	
3	0.00008889	64	
46	0.00008889	64	
5	0.00008889	64	
24	0.00008889	64	
26	0.00011944	86	
14	0.00011944	86	
38	0.00001389	10	
28	0.00001389	10	
23	0.00001389	10	
42	0.00001389	10	
3	0.00000417	3	
1	0.00000417	3	
37	0.00003472	25	
49	0.00003472	25	
43	0.00013333	96	
37	0.00013333	96	
42	0.00013333	96	
49	0.00013333	96	
46	0.00009583	69	
28	0.00012500	90	
32	0.00012500	90	
10	0.00012500	90	
48	0.00012500	90	
13	0.00001806	13	
11	0.00001806	13	
10	0.00004861	35	
44	0.00004861	35	
37	0.00004861	35	
1	0.00004861	35	
37	0.00001111	8	
28	0.00001111	8	
7	0.00001111	8	
41	0.00004167	30	
29	0.00004167	30	
43	0.00004167	30	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00000972	7	
2	0.00000972	7	
23	0.00010833	78	
12	0.00010833	78	
17	0.00010833	78	
1	0.00010833	78	
47	0.00010833	78	
41	0.00007083	51	
25	0.00007083	51	
4	0.00007083	51	
44	0.00010139	73	
41	0.00006250	45	
32	0.00006250	45	
3	0.00009306	67	
4	0.00009306	67	
15	0.00005556	40	
4	0.00005556	40	
23	0.00005556	40	
46	0.00001528	11	
1	0.00001528	11	
17	0.00001528	11	
22	0.00001528	11	
17	0.00001528	11	
2	0.00011528	83	
17	0.00011528	83	
20	0.00007500	54	
33	0.00007500	54	
22	0.00007500	54	
8	0.00007500	54	
16	0.00010556	76	
41	0.00010556	76	
12	0.00013611	98	
